[04-Jan-2024 11:15:07 Africa/Nairobi] PHP Warning:  Undefined array key "user_data" in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\application.php on line 1074
[05-Jan-2024 10:06:34 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:34 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:34 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:34 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:34 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:34 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:34 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:35 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:36 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:36 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:36 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:36 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:36 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:36 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:36 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:36 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:40 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:40 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:40 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:40 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:08:20 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:08:20 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:08:20 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:08:20 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:08:22 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:08:22 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:08:22 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:08:22 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:08:23 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:08:23 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:08:23 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:08:23 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:13:19 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 317
[05-Jan-2024 10:13:19 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 317
[05-Jan-2024 10:13:19 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 319
[05-Jan-2024 10:13:19 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 319
[05-Jan-2024 10:14:00 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 317
[05-Jan-2024 10:14:00 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 317
[05-Jan-2024 10:14:00 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 319
[05-Jan-2024 10:14:00 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 319
[05-Jan-2024 10:15:15 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 317
[05-Jan-2024 10:15:15 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 317
[05-Jan-2024 10:15:15 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 319
[05-Jan-2024 10:15:15 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 319
[05-Jan-2024 10:15:32 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 317
[05-Jan-2024 10:15:32 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 317
[05-Jan-2024 10:15:32 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 319
[05-Jan-2024 10:15:32 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 319
[05-Jan-2024 10:16:29 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 307
[05-Jan-2024 10:16:29 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 307
[05-Jan-2024 10:16:29 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 309
[05-Jan-2024 10:16:29 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 309
[05-Jan-2024 10:17:05 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 289
[05-Jan-2024 10:17:05 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 289
[05-Jan-2024 10:17:05 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 291
[05-Jan-2024 10:17:05 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 291
[05-Jan-2024 10:38:28 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 289
[05-Jan-2024 10:38:28 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 289
[05-Jan-2024 10:38:28 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 291
[05-Jan-2024 10:38:28 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 291
[08-Jan-2024 16:15:09 Africa/Nairobi] PHP Warning:  Undefined variable $name in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\uploads.php on line 1027
[08-Jan-2024 16:15:16 Africa/Nairobi] PHP Warning:  Undefined variable $name in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\uploads.php on line 1027
[08-Jan-2024 19:02:26 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 289
[08-Jan-2024 19:02:26 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 289
[08-Jan-2024 19:02:26 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 291
[08-Jan-2024 19:02:26 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 291
